Country,Store Type,Q1 FY23 ,Q4 FY22 ,Q3 FY22 ,Q2 FY22 ,Q1 FY22 ,Q4 FY21 ,Q3 FY21 ,Q2 FY21 ,Q1 FY21 ,Q4 FY20 ,Q3 FY20 ,Q2 FY20 
Canada,Licensed,473,471,464,457,469,468,441,450,450,444,432,431
United States,Licensed,6652,6608,6536,6515,6519,6497,6451,6431,6411,6387,6367,6354
Andorra,Licensed,2,2,2,2,2,2,2,2,2,2,2,2
Argentina,Licensed,131,133,133,133,133,133,133,134,134,135,136,144
Aruba,Licensed,5,5,5,5,5,5,5,5,5,4,4,4
Australia,Licensed,62,59,59,61,59,58,57,55,54,54,51,51
Austria,Licensed,2,2,2,2,2,2,2,2,2,2,2,2
Azerbaijan,Licensed,6,6,6,6,6,6,6,5,4,4,4,4
Bahamas,Licensed,14,13,13,13,13,13,13,13,14,14,14,14
Bahrain,Licensed,45,43,42,40,39,38,38,38,34,33,33,33
Barbados,Licensed,3,2,1,1,1,1, -   , -   , -   , -   , -   , -   
Belgium,Licensed,34,35,35,35,33,32,32,31,31,31,31,30
Bolivia,Licensed,7,7,7,7,7,7,7,7,6,6,6,6
Brazil,Licensed,186,178,171,165,150,136,133,128,124,120,121,130
Brunei,Licensed,4,4,4,4,4,4,4,4,4,4,4,4
Bulgaria,Licensed,16,14,14,14,14,14,14,14,14,14,14,14
Cambodia,Licensed,36,34,30,30,29,27,26,24,23,22,21,21
Cayman Islands,Licensed,2,2,2,2,1,1,1,1,1,1,1,1
Chile,Licensed,151,147,146,142,140,138,136,137,135,134,133,133
Colombia,Licensed,56,48,46,41,38,34,33,31,31,31,31,32
Costa Rica,Licensed,22,22,19,18,16,15,15,14,14,14,14,14
Curacao,Licensed,2,2,2,2,2,2,2,2,2,2,2,2
Cyprus,Licensed,16,16,16,16,16,16,15,15,15,15,15,15
Czech Republic,Licensed,52,51,51,51,51,51,51,51,51,51,49,49
Denmark,Licensed,16,16,16,16,16,17,17,17,17,17,17,18
Dominican Republic,Licensed,5,5,5,5,5,4,3,3,3,2,1, -   
Egypt,Licensed,69,66,64,62,59,56,51,48,47,44,42,42
El Salvador,Licensed,18,17,17,16,15,15,15,15,15,15,15,15
Finland,Licensed,3,3,3,3,3,4,5,5,5,5,6,7
France,Licensed,220,208,205,200,199,198,191,186,187,187,183,183
Germany,Licensed,155,154,152,150,161,161,160,158,161,160,167,167
Greece,Licensed,37,37,36,36,36,35,34,34,34,33,32,32
Guatemala,Licensed,14,13,12,11,10,10,9,9,9,9,9,9
Hong Kong/Macau,Licensed,188,187,191,190,192,195,192,196,196,197,198,205
Hungary,Licensed,38,37,37,36,36,36,35,34,34,34,34,34
India,Licensed,311,300,275,268,246,233,219,219,207,196,185,185
Indonesia,Licensed,540,523,506,493,480,487,478,468,462,458,454,450
Ireland,Licensed,86,86,85,84,87,86,83,83,83,83,82,82
Italy,Licensed,22,20,18,15,13,11,12,11,11,10,9,9
Jamaica,Licensed,12,11,11,11,10,10,10,10,10,10,9,9
Japan,Licensed,145,146,140,141,142,141,136,136,138,136,133,127
Jordan,Licensed,31,31,31,31,31,29,28,28,28,28,28,28
Kazakhstan,Licensed,35,35,35,34,34,34,33,31,31,27,27,25
Kuwait,Licensed,206,206,203,200,194,183,173,168,172,169,168,167
Laos,Licensed,1,-,-,-,-,-,-,-,-,-,-,-
Lebanon,Licensed,42,42,42,42,42,42,41,41,43,43,43,42
Luxembourg,Licensed,4,4,4,4,4,4,4,4,4,4,4,4
Malaysia,Licensed,373,364,356,346,343,331,327,327,325,322,316,315
Malta,Licensed,14,11,11,8,7,5,5,4,4,4,4,3
Mexico,Licensed,783,769,756,752,750,746,743,745,750,752,755,754
Monaco,Licensed,3,3,3,3,3,3,3,3,3,3,3,3
Morocco,Licensed,18,18,18,18,18,18,18,18,17,17,17,17
Netherlands,Licensed,98,96,94,93,91,91,90,90,89,87,87,86
New Zealand,Licensed,31,31,31,29,28,27,26,24,24,24,24,25
Norway,Licensed,26,23,23,23,23,23,23,23,23,23,23,23
Oman,Licensed,22,22,21,19,19,17,16,16,16,16,16,16
Panama,Licensed,13,13,13,12,11,11,11,11,11,11,11,11
Peru,Licensed,111,108,108,107,107,107,106,106,107,107,110,110
Philippines,Licensed,427,418,412,409,404,401,399,397,396,396,403,406
Poland,Licensed,69,69,69,69,70,69,70,69,71,71,74,74
Portugal,Licensed,24,24,23,23,23,23,23,23,23,23,23,23
Puerto Rico2,Licensed,29,29,29,29,29,28,28,28,28,28,28,28
Qatar,Licensed,60,54,52,49,47,45,43,39,38,35,35,35
Romania,Licensed,56,55,55,55,55,55,55,55,55,54,53,53
Russia,Licensed, -   , -   , -   ,129,132,130,130,132,140,141,141,141
Saudi Arabia,Licensed,384,349,338,326,323,292,280,272,266,248,241,237
Serbia,Licensed,5,5,4,3,3,3,3,3,3,3,3,2
Singapore,Licensed,149,150,148,148,150,150,149,149,148,147,147,150
Slovakia,Licensed,10,9,9,9,9,9,8,8,8,8,7,7
South Africa,Licensed,64,63,59,57,55,36,25,24,24,16,16,16
South Korea,Licensed,1777,1750,1716,1679,1639,1611,1570,1533,1509,1468,1436,1400
Spain,Licensed,150,149,145,143,140,138,137,139,139,139,153,152
Sweden,Licensed,4,4,4,4,4,6,6,6,11,13,13,13
Switzerland,Licensed,9,9,9,9,9,9,9,7,7,7,7,7
Taiwan,Licensed,548,544,538,533,525,523,507,506,503,501,486,480
Thailand,Licensed,454,446,444,436,429,425,423,420,414,405,405,402
Trinidad and Tobago,Licensed,12,12,12,11,11,11,10,10,9,9,9,9
Turkey,Licensed,640,604,589,579,570,559,555,543,536,530,523,520
Turks and Caicos,Licensed,1,1,1,1,1,1,1,1,1,1,1,1
UAE - Dubai,Licensed,280,273,265,251,243,233,225,220,216,212,210,212
United Kingdom,Licensed,860,838,842,827,811,791,771,762,748,737,723,728
Uruguay,Licensed,12,12,11,11,10,9,9,9,9,9,9,9
Vietnam,Licensed,87,82,79,79,76,73,72,67,67,65,64,64
Canada,Co-operated,956,946,936,925,919,908,963,963,1100,1159,1141,1148
United States,Co-operated,9300,9270,9114,9029,8981,8953,8897,8857,8929,8950,8876,8903
Austria,Co-operated,20,20,19,18,18,18,18,18,18,18,18,18
China,Co-operated,6090,6021,5761,5654,5557,5360,5135,4973,4863,4706,4447,4351
Italy,Co-operated,1,1,1,1,1,1,1,1,1,1,1,1
Japan,Co-operated,1649,1632,1589,1568,1564,1548,1521,1504,1491,1466,1450,1429
Switzerland,Co-operated,46,45,45,45,45,47,47,49,49,49,49,49
United Kingdom,Co-operated,328,318,302,301,300,298,291,291,291,288,289,289
